,v1,v2
5134,ham,Sday only joined.so training we started today:)
2135,ham,"Carlos took a while (again), we leave in a minute"
1069,ham,Jus finish bathing...
4145,ham,I canеХt wait for cornwall. Hope tonight isnеХt too bad as well but itеХs rock night shite. Anyway iеХm going for a kip now have a good night. Speak to you soon.
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged еЈ5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
3945,ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
2632,ham,I WILL CAL YOU SIR. In meeting
4794,ham,Saw Guys and Dolls last night with Patrick Swayze it was great
1423,ham,Lol great now im getting hungry.
5497,spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
5000,ham,"Nope. Since ayo travelled, he has forgotten his guy"
5483,ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
1318,ham,Ok...
1305,ham,Designation is software developer and may be she get chennai:)
554,ham,I‰Ычll have a look at the frying pan in case it‰Ычs cheap or a book perhaps. No that‰Ычs silly a frying pan isn‰Ычt likely to be a book
3391,ham,What r u cooking me for dinner?
2487,ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
4893,ham,Convey my regards to him
707,ham,Quite late lar... Ard 12 anyway i wun b drivin...
2405,ham,I'm meeting Darren...
2650,ham,Do you like shaking your booty on the dance floor?
2505,ham,Congrats kano..whr s the treat maga?
1426,ham,Ok...
3779,ham,Then ur physics get a-?
692,ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
4990,ham,"We made it! Eta at taunton is 12:30 as planned, hope that‰Ычs still okday?! Good to see you! :-xx"
4493,ham,Man this bus is so so so slow. I think you're gonna get there before me
1871,ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
4402,ham,Just getting back home
4221,ham,Yo you around? A friend of mine's lookin to pick up later tonight
5222,ham,5 nights...We nt staying at port step liao...Too ex
2594,ham,"That‰Ычs the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!"
1807,ham,Do have a nice day today. I love you so dearly.
2073,spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
889,ham,Wife.how she knew the time of murder exactly
1269,ham,"Tee hee. Off to lecture, cheery bye bye."
1990,ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
1463,ham,Ok good then i later come find М_... C lucky i told М_ to go earlier... Later pple take finish М_ no more again...
3299,ham,Just do what ever is easier for you
4292,ham,You best watch what you say cause I get drunk as a motherfucker
4439,ham,I've got it down to a tea. not sure which flavour
2203,ham,soon you will have the real thing princess! Do i make you wet? :)
1065,ham,No my mum went 2 dentist.
3196,ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
1439,ham,In fact when do you leave? I think addie goes back to school tues or wed
3429,ham,You've always been the brainy one.
2016,ham,"Princess, is your kitty shaved or natural?"
3768,ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
237,ham,Where are you?when wil you reach here?
5569,ham,"Pity, * was in mood for that. So...any other suggestions?"
73,ham,K..k:)where are you?how did you performed?
3528,spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
3273,ham,Thanx a lot...
454,spam,"Loan for any purpose еЈ500 - еЈ75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
4782,ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now."
2775,ham,We confirm eating at esplanade?
5060,ham,"Sorry, I'll call you  later. I am in meeting sir."
1424,ham,Yes.. now only saw your message..
3628,ham,Should I head straight there or what
3711,ham,Wat u doing there?
3191,ham,Is ur paper today in e morn or aft?
3132,ham,So no messages. Had food?
4206,ham,"Lets use it next week, princess :)"
204,ham,U call me alter at 11 ok.
3597,ham,"Aight, we'll head out in a few"
3384,ham,Ok can...
3704,ham,Ok. Very good. Its all about making that money.
846,ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
5156,ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
4374,spam,Ur TONEXS subscription has been renewed and you have been charged еЈ4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
3258,spam,"Congratulations! Thanks to a good friend U have WON the еЈ2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
547,ham,"Sorry that took so long, omw now"
2822,ham,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...
4007,ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
2201,ham,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\"""""
138,spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
2305,ham,Still in the area of the restaurant. Ill try to come back soon
3455,ham,Ok. I.ll do you right later.
4291,ham,G.W.R
137,ham,No no. I will check all rooms befor activities
620,ham,Dear we got  &lt;#&gt;  dollars hi hi
3890,ham,No problem. We will be spending a lot of quality time together...
4760,ham,It's М© only $140 ard...Мд rest all ard $180 at least...Which is М© price 4 М© 2 bedrm ($900)
1028,ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
369,ham,"Cool, text me when you're ready"
4076,ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.
3588,ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
4283,ham,Yes. I come to nyc for audiitions and am trying to relocate.
570,ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
789,ham,Gud mrng dear hav a nice day
3939,ham,Does daddy have a bb now.
3051,ham,Please leave this topic..sorry for telling that..
2133,ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part."
3088,ham,What Today-sunday..sunday is holiday..so no work..
1376,ham,Auntie huai juan never pick up her phone
133,spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. еЈ1.50 SP:Tyrone
868,spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r
3116,ham,Now am free call me pa.
3257,ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him
4866,ham,Okey dokey swashbuckling stuff what oh.
